Feature1,Feature2
1651.0,432.65
1691.82,454.94
1732.63,471.53
1773.45,482.51
1814.27,468.36
1855.08,482.15
1895.9,540.02
1936.71,534.58
1977.53,558.35
2018.35,566.42
2059.16,581.4
2099.98,596.46
2140.8,596.71
2181.61,619.45
2222.43,616.58
2263.24,653.16
2304.06,666.52
2344.88,670.59
2385.69,669.02
2426.51,678.91
2467.33,707.44
2508.14,710.76
2548.96,745.19
2589.78,729.85
2630.59,743.8
2671.41,738.2
2712.22,772.95
2753.04,772.22
2793.86,784.21
2834.67,776.43
2875.49,804.78
2916.31,833.27
2957.12,825.69
2997.94,821.05
3038.76,833.82
3079.57,833.06
3120.39,825.7
3161.2,843.58
3202.02,869.4
3242.84,851.5
3283.65,863.18
3324.47,853.01
3365.29,877.16
3406.1,863.74
3446.92,874.67
3487.73,877.74
3528.55,874.11
3569.37,882.8
3610.18,910.83
3651.0,897.42
